2025-09-19 07:26:06.2885 D Emitted message: routeTargets
2025-09-19 07:26:06.2922 D Emitted message: systemStats
2025-09-19 07:26:07.2936 D Emitted message: systemStats
2025-09-19 07:26:08.2950 D Emitted message: systemStats
2025-09-19 07:26:09.2966 D Emitted message: systemStats
2025-09-19 07:26:10.2986 D Emitted message: systemStats
2025-09-19 07:26:11.3015 D Emitted message: systemStats
2025-09-19 07:26:12.3043 D Emitted message: systemStats
2025-09-19 07:26:13.3058 D Emitted message: systemStats
2025-09-19 07:26:14.3189 D Emitted message: systemStats
2025-09-19 07:26:15.3324 D Emitted message: systemStats
2025-09-19 07:26:16.3338 D Emitted message: systemStats
2025-09-19 07:26:17.3353 D Emitted message: systemStats
2025-09-19 07:26:18.3368 D Emitted message: systemStats
2025-09-19 07:26:19.3382 D Emitted message: systemStats
2025-09-19 07:26:20.3396 D Emitted message: systemStats
2025-09-19 07:26:21.3410 D Emitted message: systemStats
2025-09-19 07:26:22.3425 D Emitted message: systemStats
2025-09-19 07:26:23.3441 D Emitted message: systemStats
2025-09-19 07:26:24.3456 D Emitted message: systemStats
2025-09-19 07:26:25.3470 D Emitted message: systemStats
2025-09-19 07:26:26.3485 D Emitted message: systemStats
2025-09-19 07:26:27.3499 D Emitted message: systemStats
2025-09-19 07:26:28.3514 D Emitted message: systemStats
2025-09-19 07:26:29.3529 D Emitted message: systemStats
2025-09-19 07:26:30.3544 D Emitted message: systemStats
2025-09-19 07:26:31.2996 D Emitted message: ndiSources
2025-09-19 07:26:31.3558 D Emitted message: systemStats
2025-09-19 07:26:32.3576 D Emitted message: systemStats
2025-09-19 07:26:33.3591 D Emitted message: systemStats
2025-09-19 07:26:34.3607 D Emitted message: systemStats
2025-09-19 07:26:35.3621 D Emitted message: systemStats
2025-09-19 07:26:36.3629 D Emitted message: routeTargets
2025-09-19 07:26:36.3639 D Emitted message: systemStats
2025-09-19 07:26:37.3662 D Emitted message: systemStats
2025-09-19 07:26:38.3676 D Emitted message: systemStats
2025-09-19 07:26:39.3690 D Emitted message: systemStats
2025-09-19 07:26:40.3706 D Emitted message: systemStats
2025-09-19 07:26:41.3722 D Emitted message: systemStats
2025-09-19 07:26:42.3764 D Emitted message: systemStats
2025-09-19 07:26:43.3779 D Emitted message: systemStats
2025-09-19 07:26:44.3795 D Emitted message: systemStats
2025-09-19 07:26:45.3810 D Emitted message: systemStats
2025-09-19 07:26:46.3825 D Emitted message: systemStats
2025-09-19 07:26:47.3840 D Emitted message: systemStats
2025-09-19 07:26:48.3855 D Emitted message: systemStats
2025-09-19 07:26:49.3869 D Emitted message: systemStats
2025-09-19 07:26:50.3885 D Emitted message: systemStats
2025-09-19 07:26:51.3899 D Emitted message: systemStats
2025-09-19 07:26:52.3915 D Emitted message: systemStats
2025-09-19 07:26:53.3930 D Emitted message: systemStats
2025-09-19 07:26:54.3945 D Emitted message: systemStats
2025-09-19 07:26:55.3960 D Emitted message: systemStats
2025-09-19 07:26:56.3975 D Emitted message: systemStats
2025-09-19 07:26:57.3990 D Emitted message: systemStats
2025-09-19 07:26:58.4005 D Emitted message: systemStats
2025-09-19 07:26:59.4020 D Emitted message: systemStats
2025-09-19 07:27:00.4035 D Emitted message: systemStats
2025-09-19 07:27:01.3511 D Emitted message: ndiSources
2025-09-19 07:27:01.4051 D Emitted message: systemStats
2025-09-19 07:27:02.4068 D Emitted message: systemStats
2025-09-19 07:27:03.4085 D Emitted message: systemStats
2025-09-19 07:27:04.4099 D Emitted message: systemStats
2025-09-19 07:27:05.4114 D Emitted message: systemStats
2025-09-19 07:27:06.4128 D Emitted message: routeTargets
2025-09-19 07:27:06.4128 D Emitted message: systemStats
